method,dataset,d,bit_per_dim,K,n_base,n_query,mse_distortion,l2_rel_err_mean,spearman_mean,spearman_std,spearman_p10,spearman_p50,spearman_p90,setup_time_s,encode_time_s,spearman_time_s,total_time_s
TQMSE,openai,1536,1,2,10000,1000,0.3645986020565033,0.6037848591804504,0.8640076358481755,0.02257673068385177,0.834233273951453,0.8658857481910103,0.8915959028102137,4.270885115489364,1.308579120784998,1.7738970462232828,7.440341657027602
TQMSE,openai,1536,2,4,10000,1000,0.11923881620168686,0.3452546298503876,0.9540234523742863,0.009232355560276805,0.9418789892262759,0.9548827075096757,0.9650492726693216,0.002749131992459297,0.06982052326202393,1.018865393474698,1.1092796362936497
TQMSE,openai,1536,3,8,10000,1000,0.035270895808935165,0.1877407282590866,0.9846769995836783,0.0033455710240842774,0.9803894794984119,0.985037987645895,0.9886426987711533,0.002207208424806595,0.06295092590153217,1.0196851827204227,1.103340558707714
TQMSE,openai,1536,4,16,10000,1000,0.00968880858272314,0.09836471825838089,0.9953107634674067,0.0010603547877832422,0.9939355713846347,0.9954177683213392,0.9965550757111205,0.002462625503540039,0.07047266513109207,1.16895317658782,1.2593434508889914
TQMSE,openai,1536,5,32,10000,1000,0.0025374332908540964,0.05031626671552658,0.9986922755821607,0.0003015292114977073,0.9983007012190108,0.9987226623584201,0.9990443925014554,0.0019806548953056335,0.06359174475073814,0.9794647879898548,1.0621344316750765
TQMSE,openai,1536,6,64,10000,1000,0.0007284298189915717,0.026921652257442474,0.9995671978790784,0.00010238968697697568,0.9994329567965837,0.9995766945371869,0.9996870629495163,0.0020420514047145844,0.07286306284368038,1.1738335508853197,1.2666451651602983
TQMSE,openai,1536,7,128,10000,1000,0.00026809523114934564,0.01629706844687462,0.9998215445455568,4.291194908094247e-05,0.9997669929112195,0.9998259173962192,0.9998710619861886,0.003390345722436905,0.078486118465662,1.035460339859128,1.135834189131856
TQMSE,openai,1536,8,256,10000,1000,0.00010691795614548028,0.01026170514523983,0.9999192800648798,2.0153866550540557e-05,0.9998931771761065,0.9999218082647021,0.9999426438523158,0.002169199287891388,0.05751606822013855,1.19218529202044,1.2708689160645008
TQMSE,openai,1536,9,512,10000,1000,4.4440512283472344e-05,0.006587286479771137,0.9999624899363116,9.558034299790993e-06,0.9999500940973887,0.9999634700796278,0.9999735622252297,0.0028289444744586945,0.06455638259649277,1.0387493893504143,1.1246152091771364
TQMSE,openai,1536,10,1024,10000,1000,1.9117560441372916e-05,0.004291826859116554,0.999982199086943,4.660797412470995e-06,0.9999760644868547,0.9999828181958244,0.9999877009535744,0.002544572576880455,0.058914074674248695,1.0003262497484684,1.0809750892221928
